800 1000 100 300 25 25000
518	656	201	494	186	712
666	188	504	995	208	2340
502	138	42	160	228	1244
395	43	296	955	244	3620
662	421	314	445	281	656
623	425	588	906	288	1239
558	292	107	920	330	2387
434	885	25	81	406	2463
624	916	777	613	450	1603
432	467	693	143	462	1451
491	915	363	285	632	2642
3	203	346	877	721	3756
581	167	737	6	830	1390
280	980	684	506	1111	2172
582	461	523	322	1222	1479
96	421	46	27	1262	2131
176	699	774	428	1349	4194
586	708	407	878	1409	2365
198	840	478	635	1451	2410
673	589	663	974	1456	2487
131	923	111	568	1566	2286
148	585	157	112	1613	2595
227	816	658	454	1639	4215
61	690	55	586	1663	1958
764	965	106	660	1771	4080
489	518	332	323	1998	2379
661	793	411	951	2123	3229
67	382	524	997	2313	4668
247	549	29	56	2349	3712
530	416	189	909	2477	3621
185	523	83	201	2507	3375
314	563	141	419	2744	3381
508	681	180	701	2744	3179
219	215	154	449	2806	3698
91	482	772	430	2956	4966
72	536	672	404	2985	5259
750	114	668	304	3059	3629
784	431	379	158	3227	5074
70	960	521	212	3311	5812
613	505	257	253	3385	4966
269	492	252	561	3412	3577
268	768	376	617	3434	4340
71	674	33	713	3467	3562
394	514	81	89	3594	5285
219	277	244	256	3766	3905
103	553	333	935	3777	5260
73	600	470	606	3816	4433
85	547	533	747	3861	4698
176	19	653	427	3866	4911
243	102	507	792	3941	5654
126	185	470	739	4056	5036
517	208	599	956	4124	6414
591	639	361	143	4166	5710
423	12	182	287	4323	6027
317	840	328	492	4380	4759
482	285	519	899	4551	5248
311	1	191	859	4743	6124
23	441	207	732	4790	5727
789	421	463	561	5017	6337
285	20	605	565	5193	8091
316	274	787	308	5261	6548
123	156	298	128	5307	5573
190	614	588	972	5453	7904
80	559	237	969	5589	6847
426	66	420	751	5697	7490
610	690	448	236	5882	6523
595	862	798	67	5978	8121
305	985	471	874	5985	6773
239	321	416	849	6015	6728
328	636	94	215	6024	7292
393	624	655	886	6056	6633
558	342	663	278	6098	6562
310	163	799	285	6113	7059
108	973	280	646	6209	7780
82	543	402	386	6281	6969
605	616	578	831	6412	7193
87	827	77	946	6638	7001
636	557	796	628	6689	7339
335	892	718	421	6743	8651
748	156	137	186	6792	7577
511	139	157	902	6841	9888
115	955	198	643	6861	7483
468	106	480	624	6876	8210
358	643	766	704	6967	8435
463	857	280	590	7076	8214
81	766	536	544	7102	7835
165	591	14	948	7116	7677
705	938	38	142	7150	10756
484	871	376	848	7160	7457
427	128	295	372	7285	7802
559	126	447	404	7570	8933
474	621	723	872	7652	9283
727	896	348	523	7740	9361
498	934	494	196	8041	9245
498	128	223	589	8084	9741
81	273	645	290	8303	8930
229	110	178	821	8434	10373
540	111	634	504	8592	9727
684	642	427	476	8629	9198
795	571	743	528	8766	9010
415	844	72	250	8788	10839
590	695	588	238	8811	10121
557	123	345	598	8835	10642
541	897	524	912	8980	9035
597	94	414	473	9045	10227
20	131	10	783	9134	10135
358	834	26	616	9309	9864
78	559	207	429	9314	9991
362	356	187	802	9443	11604
695	831	187	311	9634	13086
650	286	462	484	9773	10980
528	3	709	629	9780	12366
319	456	229	159	9979	10834
250	700	775	980	10030	10984
703	709	139	701	10104	11341
550	693	454	379	10197	11611
367	597	298	4	10403	12129
657	187	799	894	10418	12122
468	170	393	237	10469	10633
456	621	283	914	10505	11177
631	440	210	132	10541	12574
517	426	689	891	10652	12301
481	80	378	665	10777	13072
92	949	494	860	10996	12406
319	195	128	970	11013	13484
378	301	367	274	11197	11268
152	641	422	394	11222	12106
443	921	201	149	11243	12322
31	325	197	802	11368	12202
556	242	676	208	11440	11771
601	45	694	52	11527	11642
715	879	347	44	11544	14794
258	224	155	726	11556	13248
118	755	666	938	11562	14039
188	405	689	968	11576	13755
54	709	389	839	11603	12878
481	487	452	191	11746	12251
561	555	125	269	11932	13489
176	758	638	250	12027	14412
287	484	750	436	12176	13120
621	39	399	117	12206	13006
557	342	412	325	12386	12833
187	940	705	485	12443	13461
689	105	539	684	12475	14107
47	173	657	151	12476	13716
426	564	793	337	12562	13647
790	935	686	121	12617	14630
210	150	387	12	12646	13491
62	406	534	169	12669	14289
365	600	264	566	12706	12908
766	849	142	568	12736	13809
357	20	505	713	12905	14204
686	808	640	37	12952	15278
461	731	626	680	12980	13727
524	323	593	202	13004	13612
311	37	382	460	13163	14513
74	501	41	936	13169	14788
234	186	599	472	13261	14763
463	972	343	532	13263	14196
426	438	603	886	13336	15449
170	942	236	754	13359	14226
253	282	343	514	13544	13989
687	641	161	802	13581	14830
474	470	791	895	13658	15396
274	742	563	848	13790	14236
144	703	519	468	13832	15642
593	508	380	466	13853	14535
368	900	100	744	13935	15080
337	820	59	115	14104	15327
98	353	477	757	14323	15842
641	663	50	392	14356	16679
264	491	445	767	14518	16078
500	484	326	286	14589	15685
618	558	373	771	14644	15166
442	623	797	305	14755	15537
525	464	476	849	15084	16161
765	854	558	344	15115	16592
667	211	519	12	15402	16367
102	526	653	936	15482	17709
400	136	569	558	15534	16941
292	766	393	28	15583	17315
732	600	101	985	15613	19024
290	20	274	198	15643	16268
506	215	254	27	15739	16744
495	283	214	702	15754	16472
611	950	405	339	15963	17940
588	216	166	751	15964	17696
348	7	232	841	16171	18759
753	836	51	812	16253	17539
497	303	398	239	16330	16838
511	975	61	830	16361	17811
700	775	180	863	16395	18092
237	432	151	805	16506	17940
382	819	524	475	16592	17089
471	167	741	819	16795	19208
493	783	48	358	16842	18899
148	374	546	448	16900	17773
81	653	220	317	16913	17823
261	817	781	455	17031	19919
6	455	131	145	17131	18161
111	316	88	590	17142	17676
402	665	534	695	17202	17416
255	715	625	28	17210	20620
434	910	764	227	17238	18466
677	424	140	795	17379	18358
277	50	126	571	17390	18095
681	206	756	220	17523	17742
547	716	490	315	17725	18263
345	370	559	458	17768	18276
323	264	567	428	17801	18318
495	147	33	768	17861	20391
34	371	662	736	17910	21172
584	827	235	406	17966	20618
637	404	390	535	18038	18766
125	217	373	584	18068	19897
544	27	50	758	18105	20470
182	183	600	283	18134	18995
635	475	512	992	18217	19244
154	461	673	430	18289	20212
757	681	714	387	18373	18879
189	610	630	71	18380	20760
552	276	610	72	18433	18943
761	85	111	567	18517	21011
768	283	770	992	18656	19419
266	303	201	251	18699	18915
480	43	392	959	18758	20533
188	447	264	678	18764	19808
638	730	598	46	18829	21212
635	751	53	218	18963	21150
216	217	681	811	18975	21243
194	336	445	462	18980	20119
248	313	16	861	19026	19938
654	147	732	939	19037	20634
64	691	542	750	19184	20394
385	37	394	416	19327	20364
238	612	138	28	19493	20431
235	572	442	955	19618	21544
400	309	6	829	19651	20630
110	606	565	611	19681	21028
774	580	750	449	19730	20195
625	46	444	685	19799	22222
200	3	212	615	19915	21624
582	50	560	74	19931	20019
171	247	177	833	20010	20869
449	270	634	260	20096	20380
77	359	235	3	20099	21294
648	494	602	487	20154	20301
432	268	46	910	20167	21514
606	724	154	616	20196	21068
275	87	499	257	20394	21549
720	37	449	146	20416	21364
203	822	547	269	20606	22043
212	48	83	988	20656	22952
155	104	256	845	20747	23566
534	379	563	43	20940	21378
245	963	300	523	21132	22726
649	946	515	598	21159	21894
73	801	159	839	21238	21389
224	842	511	752	21285	22475
291	207	569	278	21342	21845
378	775	546	379	21476	22505
324	207	432	878	21551	23406
405	734	181	765	21645	22247
583	59	384	785	21677	23582
587	566	259	987	21754	22785
265	761	98	375	21876	22583
365	480	606	828	21894	23213
