800 1000 100 300 25 25000 0 0
518	656	201	494	186	712	1174	-462	1
662	421	314	445	281	656	1083	-427	2
624	916	777	613	450	1603	1540	63	3
623	425	588	906	288	1239	1048	191	4
582	461	523	322	1222	1479	1043	436	5
432	467	693	143	462	1451	899	552	6
502	138	42	160	228	1244	640	604	7
581	167	737	6	830	1390	748	642	8
280	980	684	506	1111	2172	1260	912	9
586	708	407	878	1409	2365	1294	1071	10
434	885	25	81	406	2463	1319	1144	11
61	690	55	586	1663	1958	751	1207	12
673	589	663	974	1456	2487	1262	1225	13
131	923	111	568	1566	2286	1054	1232	14
491	915	363	285	632	2642	1406	1236	15
489	518	332	323	1998	2379	1007	1372	16
198	840	478	635	1451	2410	1038	1372	17
666	188	504	995	208	2340	854	1486	18
558	292	107	920	330	2387	850	1537	19
96	421	46	27	1262	2131	517	1614	20
661	793	411	951	2123	3229	1454	1775	21
148	585	157	112	1613	2595	733	1862	22
508	681	180	701	2744	3179	1189	1990	23
764	965	106	660	1771	4080	1729	2351	24
314	563	141	419	2744	3381	877	2504	25
185	523	83	201	2507	3375	708	2667	26
530	416	189	909	2477	3621	946	2675	27
750	114	668	304	3059	3629	864	2765	28
269	492	252	561	3412	3577	761	2816	29
71	674	33	713	3467	3562	745	2817	30
247	549	29	56	2349	3712	796	2916	31
227	816	658	454	1639	4215	1043	3172	32
395	43	296	955	244	3620	438	3182	33
219	215	154	449	2806	3698	434	3264	34
268	768	376	617	3434	4340	1036	3304	35
176	699	774	428	1349	4194	875	3319	36
219	277	244	256	3766	3905	496	3409	37
3	203	346	877	721	3756	206	3550	38
317	840	328	492	4380	4759	1157	3602	39
73	600	470	606	3816	4433	673	3760	40
613	505	257	253	3385	4966	1118	3848	41
784	431	379	158	3227	5074	1215	3859	42
85	547	533	747	3861	4698	632	4066	43
67	382	524	997	2313	4668	449	4219	44
394	514	81	89	3594	5285	908	4377	45
91	482	772	430	2956	4966	573	4393	46
591	639	361	143	4166	5710	1230	4480	47
482	285	519	899	4551	5248	767	4481	48
103	553	333	935	3777	5260	656	4604	49
72	536	672	404	2985	5259	608	4651	50
176	19	653	427	3866	4911	195	4716	51
126	185	470	739	4056	5036	311	4725	52
70	960	521	212	3311	5812	1030	4782	53
789	421	463	561	5017	6337	1210	5127	54
610	690	448	236	5882	6523	1300	5223	55
23	441	207	732	4790	5727	464	5263	56
123	156	298	128	5307	5573	279	5294	57
243	102	507	792	3941	5654	345	5309	58
305	985	471	874	5985	6773	1290	5483	59
423	12	182	287	4323	6027	435	5592	60
393	624	655	886	6056	6633	1017	5616	61
558	342	663	278	6098	6562	900	5662	62
517	208	599	956	4124	6414	725	5689	63
311	1	191	859	4743	6124	312	5812	64
316	274	787	308	5261	6548	590	5958	65
605	616	578	831	6412	7193	1221	5972	66
87	827	77	946	6638	7001	914	6087	67
484	871	376	848	7160	7457	1355	6102	68
636	557	796	628	6689	7339	1193	6146	69
239	321	416	849	6015	6728	560	6168	70
80	559	237	969	5589	6847	639	6208	71
328	636	94	215	6024	7292	964	6328	72
82	543	402	386	6281	6969	625	6344	73
115	955	198	643	6861	7483	1070	6413	74
310	163	799	285	6113	7059	473	6586	75
595	862	798	67	5978	8121	1457	6664	76
748	156	137	186	6792	7577	904	6673	77
108	973	280	646	6209	7780	1081	6699	78
463	857	280	590	7076	8214	1320	6894	79
165	591	14	948	7116	7677	756	6921	80
81	766	536	544	7102	7835	847	6988	81
426	66	420	751	5697	7490	492	6998	82
190	614	588	972	5453	7904	804	7100	83
427	128	295	372	7285	7802	555	7247	84
335	892	718	421	6743	8651	1227	7424	85
358	643	766	704	6967	8435	1001	7434	86
541	897	524	912	8980	9035	1438	7597	87
468	106	480	624	6876	8210	574	7636	88
795	571	743	528	8766	9010	1366	7644	89
727	896	348	523	7740	9361	1623	7738	90
285	20	605	565	5193	8091	305	7786	91
498	934	494	196	8041	9245	1432	7813	92
684	642	427	476	8629	9198	1326	7872	93
474	621	723	872	7652	9283	1095	8188	94
559	126	447	404	7570	8933	685	8248	95
81	273	645	290	8303	8930	354	8576	96
358	834	26	616	9309	9864	1192	8672	97
590	695	588	238	8811	10121	1285	8836	98
540	111	634	504	8592	9727	651	9076	99
705	938	38	142	7150	10756	1643	9113	100
498	128	223	589	8084	9741	626	9115	101
511	139	157	902	6841	9888	650	9238	102
78	559	207	429	9314	9991	637	9354	103
597	94	414	473	9045	10227	691	9536	104
415	844	72	250	8788	10839	1259	9580	105
703	709	139	701	10104	11341	1412	9929	106
557	123	345	598	8835	10642	680	9962	107
20	131	10	783	9134	10135	151	9984	108
468	170	393	237	10469	10633	638	9995	109
229	110	178	821	8434	10373	339	10034	110
250	700	775	980	10030	10984	950	10034	111
650	286	462	484	9773	10980	936	10044	112
319	456	229	159	9979	10834	775	10059	113
456	621	283	914	10505	11177	1077	10100	114
550	693	454	379	10197	11611	1243	10368	115
378	301	367	274	11197	11268	679	10589	116
362	356	187	802	9443	11604	718	10886	117
443	921	201	149	11243	12322	1364	10958	118
556	242	676	208	11440	11771	798	10973	119
601	45	694	52	11527	11642	646	10996	120
367	597	298	4	10403	12129	964	11165	121
657	187	799	894	10418	12122	844	11278	122
481	487	452	191	11746	12251	968	11283	123
152	641	422	394	11222	12106	793	11313	124
517	426	689	891	10652	12301	943	11358	125
92	949	494	860	10996	12406	1041	11365	126
631	440	210	132	10541	12574	1071	11503	127
695	831	187	311	9634	13086	1526	11560	128
528	3	709	629	9780	12366	531	11835	129
31	325	197	802	11368	12202	356	11846	130
557	342	412	325	12386	12833	899	11934	131
365	600	264	566	12706	12908	965	11943	132
