14	8	1336	944	0	200000	22
32	3	1976	1672	0	200000	35
29	6	929	1549	0	200000	35
5	31	2631	494	0	200000	36
15	25	2738	1211	0	200000	40
29	51	107	1403	0	200000	80
0	82	375	1374	0	200000	82
83	5	1	165	0	200000	88
67	22	1601	546	0	200000	89
71	23	1315	341	0	200000	94
47	54	2622	690	0	200000	101
64	37	1409	1879	0	200000	101
62	44	2463	1272	0	200000	106
62	46	2940	1452	0	200000	108
43	73	1898	1106	0	200000	116
2	126	2707	1010	0	200000	128
90	40	1723	266	0	200000	130
111	22	2680	421	0	200000	133
99	36	2822	424	0	200000	135
29	110	2978	821	0	200000	139
116	31	655	339	0	200000	147
59	92	2756	289	0	200000	151
117	34	1057	784	0	200000	151
134	18	2302	901	0	200000	152
77	77	754	557	0	200000	154
81	79	2007	1263	0	200000	160
15	146	1395	1769	0	200000	161
54	111	948	215	0	200000	165
92	79	2495	1606	0	200000	171
14	159	1554	1693	0	200000	173
78	98	2455	1055	0	200000	176
38	142	634	17	0	200000	180
161	19	421	493	0	200000	180
160	21	34	1119	0	200000	181
92	90	1337	782	0	200000	182
75	107	1433	1027	0	200000	182
90	93	1902	93	0	200000	183
124	63	2624	1969	0	200000	187
107	83	850	190	0	200000	190
53	145	81	1883	0	200000	198
15	183	2700	1389	0	200000	198
144	56	2408	551	0	200000	200
74	128	785	435	0	200000	202
156	59	2277	1336	0	200000	215
116	99	2640	1856	0	200000	215
124	91	168	839	0	200000	215
193	28	1099	987	0	200000	221
190	34	2282	1145	0	200000	224
149	83	2308	736	0	200000	232
8	228	1232	1522	0	200000	236
71	167	341	1819	0	200000	238
164	75	2265	1378	0	200000	239
18	221	34	904	0	200000	239
104	138	897	998	0	200000	242
56	187	1493	926	0	200000	243
247	4	1745	1008	0	200000	251
56	195	1358	61	0	200000	251
106	150	903	1414	0	200000	256
192	65	1755	1353	0	200000	257
24	235	429	298	0	200000	259
194	65	1315	81	0	200000	259
231	29	1916	483	0	200000	260
233	29	74	323	0	200000	262
64	199	2515	944	0	200000	263
18	248	1202	1261	0	200000	266
12	255	2572	287	0	200000	267
63	205	1757	1236	0	200000	268
23	248	2061	402	0	200000	271
178	94	474	625	0	200000	272
114	160	2098	1677	0	200000	274
184	90	368	1387	0	200000	274
81	195	2726	1085	0	200000	276
137	143	1004	498	0	200000	280
138	146	499	374	0	200000	284
139	145	1726	1031	0	200000	284
116	169	296	1532	0	200000	285
223	65	2999	1484	0	200000	288
269	20	523	1216	0	200000	289
9	281	416	278	0	200000	290
121	171	1549	1455	0	200000	292
190	103	1509	142	0	200000	293
60	242	2185	1259	0	200000	302
124	179	1908	578	0	200000	303
42	264	549	968	0	200000	306
13	294	423	952	0	200000	307
255	53	1014	791	0	200000	308
138	171	695	1408	0	200000	309
73	237	1605	1794	0	200000	310
76	235	1110	620	0	200000	311
228	85	1087	411	0	200000	313
208	105	912	1800	0	200000	313
153	161	2219	1311	0	200000	314
315	0	2733	438	0	200000	315
139	180	23	323	0	200000	319
246	74	935	1889	0	200000	320
201	119	2453	1609	0	200000	320
250	85	111	1481	0	200000	335
309	26	1239	428	0	200000	335
306	30	387	1263	0	200000	336
24	312	2338	78	0	200000	336
89	249	1187	1620	0	200000	338
22	317	1370	274	0	200000	339
78	263	2108	40	0	200000	341
112	230	1369	1239	0	200000	342
123	219	2081	1	0	200000	342
332	13	2657	583	0	200000	345
46	305	1537	1815	0	200000	351
101	251	308	1925	0	200000	352
340	13	874	1703	0	200000	353
193	161	259	820	0	200000	354
124	232	552	317	0	200000	356
213	143	345	1882	0	200000	356
320	37	2449	146	0	200000	357
95	265	1479	163	0	200000	360
308	55	1383	100	0	200000	363
140	224	108	1846	0	200000	364
226	138	2419	985	0	200000	364
293	72	1339	1125	0	200000	365
353	14	2333	1607	0	200000	367
310	59	2501	1749	0	200000	369
279	93	2450	630	0	200000	372
347	25	1717	1066	0	200000	372
335	39	850	1933	0	200000	374
216	160	2783	1112	0	200000	376
243	134	994	1611	0	200000	377
294	87	1048	60	0	200000	381
83	298	285	201	0	200000	381
379	2	2970	1473	0	200000	381
95	288	1851	723	0	200000	383
96	287	1253	1603	0	200000	383
48	335	2701	1062	0	200000	383
279	106	574	840	0	200000	385
200	185	1716	1169	0	200000	385
181	204	2975	930	0	200000	385
127	262	2521	519	0	200000	389
262	127	1363	984	0	200000	389
148	241	499	1054	0	200000	389
67	324	2184	1539	0	200000	391
359	33	944	821	0	200000	392
389	5	2724	465	0	200000	394
105	290	2575	1183	0	200000	395
75	320	236	985	0	200000	395
